transaction_id,date,restaurant_name,product_family,gap_percentage,gap_severity,operational_anomaly
10001,2024-01-01,KFC Paris Louvre,Poulet Frit,3.170413194444436,MODÉRÉ,False
10002,2024-01-01,KFC Paris Louvre,Sandwichs,3.08041319444446,MODÉRÉ,False
10003,2024-01-01,KFC Paris Louvre,Burger Poulet,2.6604131944444585,MODÉRÉ,False
10004,2024-01-01,KFC Paris Louvre,Wraps & Salades,3.030413194444445,MODÉRÉ,False
10005,2024-01-01,KFC Paris Louvre,Accompagnements,3.020413194444439,MODÉRÉ,False
10006,2024-01-01,KFC Paris Louvre,Boissons,3.040413194444438,MODÉRÉ,False
10007,2024-01-01,KFC Paris Louvre,Desserts,2.580413194444463,MODÉRÉ,False
10008,2024-01-01,KFC Paris Louvre,Petits Déjeuners,2.2104131944444405,MODÉRÉ,False
10009,2024-01-01,KFC Lyon Part-Dieu,Poulet Frit,2.410413194444442,MODÉRÉ,False
10010,2024-01-01,KFC Lyon Part-Dieu,Sandwichs,2.270413194444462,MODÉRÉ,False
10011,2024-01-01,KFC Lyon Part-Dieu,Burger Poulet,2.2904131944444606,MODÉRÉ,False
10012,2024-01-01,KFC Lyon Part-Dieu,Wraps & Salades,2.6804131944444456,MODÉRÉ,False
10013,2024-01-01,KFC Lyon Part-Dieu,Accompagnements,2.610413194444443,MODÉRÉ,False
10014,2024-01-01,KFC Lyon Part-Dieu,Boissons,1.1104131944444393,FAIBLE,False
10015,2024-01-01,KFC Lyon Part-Dieu,Desserts,2.2104131944444405,MODÉRÉ,False
10016,2024-01-01,KFC Lyon Part-Dieu,Petits Déjeuners,1.4304131944444343,FAIBLE,False
10017,2024-01-01,KFC Marseille Vieux Port,Poulet Frit,7.920413194444452,ÉLEVÉ,True
10018,2024-01-01,KFC Marseille Vieux Port,Sandwichs,8.210413194444442,ÉLEVÉ,True
10019,2024-01-01,KFC Marseille Vieux Port,Burger Poulet,8.260413194444459,ÉLEVÉ,True
10020,2024-01-01,KFC Marseille Vieux Port,Wraps & Salades,8.27041319444444,ÉLEVÉ,True
10021,2024-01-01,KFC Marseille Vieux Port,Accompagnements,8.780413194444442,ÉLEVÉ,True
10022,2024-01-01,KFC Marseille Vieux Port,Boissons,8.030413194444453,ÉLEVÉ,True
10023,2024-01-01,KFC Marseille Vieux Port,Desserts,7.490413194444432,ÉLEVÉ,True
10024,2024-01-01,KFC Marseille Vieux Port,Petits Déjeuners,8.160413194444452,ÉLEVÉ,True
10025,2024-01-01,KFC Toulouse Capitole,Poulet Frit,2.570413194444433,MODÉRÉ,False
10026,2024-01-01,KFC Toulouse Capitole,Sandwichs,2.770413194444447,MODÉRÉ,False
10027,2024-01-01,KFC Toulouse Capitole,Burger Poulet,2.140413194444438,MODÉRÉ,False
10028,2024-01-01,KFC Toulouse Capitole,Wraps & Salades,2.220413194444446,MODÉRÉ,False
10029,2024-01-01,KFC Toulouse Capitole,Accompagnements,2.7004131944444443,MODÉRÉ,False
10030,2024-01-01,KFC Toulouse Capitole,Boissons,1.8004131944444446,FAIBLE,False
10031,2024-01-01,KFC Toulouse Capitole,Desserts,2.670413194444452,MODÉRÉ,False
10032,2024-01-01,KFC Toulouse Capitole,Petits Déjeuners,2.350413194444445,MODÉRÉ,False
10033,2024-01-01,KFC Lille Centre,Poulet Frit,4.920413194444433,MODÉRÉ,False
10034,2024-01-01,KFC Lille Centre,Sandwichs,4.170413194444444,MODÉRÉ,False
