restaurant_id,product_family_id,target_gap_percentage,selling_price,units_sold,qsp_score,operational_anomaly,gap_percentage,year,month,day_of_month,day_of_week,is_weekend,quarter,week_of_year,price_minus_cost,price_to_theoretical_ratio,cost_variance,cost_variance_pct,cost_variance_abs,revenue_rolling_mean_7,units_rolling_mean_7,price_rolling_mean_7,qsp_rolling_mean_7,revenue_rolling_mean_14,units_rolling_mean_14,price_rolling_mean_14,qsp_rolling_mean_14,revenue_rolling_mean_30,units_rolling_mean_30,price_rolling_mean_30,qsp_rolling_mean_30,revenue_lag_7,units_lag_7,price_lag_7,qsp_lag_7,cost_variance_abs_lag_7,revenue_lag_14,units_lag_14,price_lag_14,qsp_lag_14,cost_variance_abs_lag_14,revenue_lag_30,units_lag_30,price_lag_30,qsp_lag_30,cost_variance_abs_lag_30,anomaly_count_7d,anomaly_count_30d,region_Paris,region_Lyon,region_Marseille,region_Toulouse,region_Lille,region_Bordeaux,region_Nantes,region_Strasbourg,region_Rennes,region_Nice,cat_Poulet,cat_Sandwich,cat_Autre,cat_Boisson,cat_Dessert,gap_to_target_ratio
1,4,5.0,4.84,75,0.78,0,2.4404131944444463,2024,1,4,3,0,1,1,2.586310909722222,2.1990004543389365,0.053689090277777574,2.439304419708204,0.053689090277777574,259.7257142857143,54.0,5.154285714285714,0.8357142857142856,241.1042857142857,39.785714285714285,5.547142857142857,0.8392857142857143,443.52,48.0,9.24,0.79,165.0,30.0,5.5,0.77,0.06876032986111102,304.92,33.0,9.24,0.89,0.13105735416666686,443.52,48.0,9.24,0.79,0.1331573541666664,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05
1,5,4.0,5.5,42,0.85,0,2.890413194444464,2024,1,4,3,0,1,1,2.9277396701388883,2.1991203518592566,0.07226032986111175,2.889257491447891,0.07226032986111175,256.6457142857143,50.0,5.594285714285715,0.8214285714285714,242.5342857142857,41.07142857142857,5.437142857142858,0.8385714285714286,344.96,44.0,7.7,0.785,452.76,49.0,9.24,0.78,0.12097735416666744,474.32,77.0,6.16,0.88,0.07785156944444438,246.4,40.0,6.16,0.78,0.08625156944444479,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04
1,6,4.0,9.24,74,0.8,0,3.6704131944444462,2024,1,5,4,0,1,1,4.885842645833333,2.1994763151630563,0.1541573541666672,3.6695394945647983,0.1541573541666672,235.71428571428572,47.42857142857143,5.5,0.812857142857143,263.89,43.42857142857143,5.688571428571429,0.8371428571428572,298.17333333333335,39.333333333333336,7.406666666666666,0.8033333333333333,221.76,36.0,6.16,0.81,0.07505156944444469,368.28,54.0,6.82,0.87,0.09146280902777804,204.6,30.0,6.82,0.84,0.0824728090277782,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04
1,7,3.5,6.16,66,0.76,0,2.910413194444464,2024,1,5,4,0,1,1,3.2785084305555556,2.199214566226348,0.08149156944444469,2.9093741322543627,0.08149156944444469,257.9657142857143,51.42857142857143,5.374285714285714,0.8085714285714286,283.25,44.785714285714285,6.112857142857143,0.845,337.205,44.25,7.48,0.825,463.76,68.0,6.82,0.87,0.10262280902777787,308.0,40.0,7.7,0.9,0.11376446180555533,454.3,59.0,7.7,0.89,0.10606446180555595,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.035
1,3,4.0,6.82,71,0.91,0,2.8404131944444364,2024,1,5,4,0,1,1,3.631947190972223,2.199290551435021,0.08805280902777701,2.839497227596808,0.08805280902777701,294.7371428571428,50.0,6.002857142857144,0.8157142857142857,290.44714285714286,48.0,6.002857142857144,0.8378571428571429,283.62399999999997,39.6,6.644,0.8380000000000001,508.2,66.0,7.7,0.82,0.12916446180555585,250.8,76.0,3.3,0.77,0.05685619791666663,69.3,21.0,3.3,0.89,0.0453061979166669,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04
1,8,3.5,7.7,54,0.83,0,3.3004131944444604,2024,1,5,4,0,1,1,4.0844855381944445,2.199371608111968,0.11551446180555613,3.299470488590578,0.11551446180555613,296.59142857142854,45.42857142857143,6.222857142857142,0.8357142857142857,282.8414285714286,50.357142857142854,5.735714285714286,0.8342857142857143,242.51333333333332,36.5,5.830000000000001,0.8300000000000001,148.5,45.0,3.3,0.9,0.05220619791666681,135.52,77.0,1.76,0.76,0.02424330555555554,36.96,21.0,1.76,0.79,0.024323305555555508,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.035
1,1,4.0,3.3,30,0.93,0,3.54041319444446,2024,1,5,4,0,1,1,1.7468938020833331,2.1985343104596935,0.05310619791666671,3.5380544914501475,0.05310619791666671,285.27714285714285,45.0,5.782857142857144,0.8357142857142856,255.49857142857144,48.214285714285715,5.421428571428572,0.84,229.30285714285714,35.714285714285715,5.688571428571429,0.8357142857142856,36.96,21.0,1.76,0.9,0.021043305555555447,116.16,24.0,4.84,0.9,0.0649090902777778,150.04,31.0,4.84,0.87,0.05676909027777777,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04
1,2,1.5,1.76,46,0.9,0,2.570413194444433,2024,1,5,4,0,1,1,0.9394366944444444,2.1972534332084894,0.020563305555555522,2.56720418920793,0.020563305555555522,313.5628571428571,51.42857142857143,5.688571428571429,0.8371428571428572,247.92428571428573,47.214285714285715,5.3742857142857146,0.8414285714285714,230.89,36.75,5.665,0.8325,363.0,75.0,4.84,0.78,0.053689090277777574,165.0,30.0,5.5,0.77,0.06876032986111102,242.0,44.0,5.5,0.81,0.05526032986111096,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.015
1,4,5.0,4.84,62,0.76,0,2.850413194444442,2024,1,5,4,0,1,1,2.577290909722222,2.1990004543389365,0.0627090902777776,2.849118140744098,0.0627090902777776,281.8828571428571,50.42857142857143,5.154285714285714,0.8471428571428572,262.23999999999995,48.07142857142857,5.547142857142857,0.8364285714285715,260.67555555555555,38.666666666666664,6.062222222222222,0.8311111111111111,231.0,42.0,5.5,0.85,0.07226032986111175,452.76,49.0,9.24,0.78,0.12097735416666744,498.96,54.0,9.24,0.82,0.14323735416666672,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05
1,5,4.0,5.5,73,0.79,0,3.110413194444465,2024,1,5,4,0,1,1,2.922239670138888,2.1991203518592566,0.07776032986111181,3.109169526633819,0.07776032986111181,347.8828571428571,55.857142857142854,5.594285714285715,0.8457142857142858,245.07999999999998,46.357142857142854,5.437142857142858,0.8378571428571429,261.712,39.2,6.072,0.8230000000000001,683.76,74.0,9.24,0.8,0.1541573541666672,221.76,36.0,6.16,0.81,0.07505156944444469,271.04,44.0,6.16,0.75,0.09073156944444438,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04
